gaming_time_hr,social_media_time_hr,sleep_hours,daily_unlocks,notifications_per_day,addiction_level
5.75,5.3,4.85,264,120,High
7.18,7.56,4.61,304,177,High
6.13,5.45,7.55,236,134,Medium
0.62,3.21,6.47,163,81,Low
1.85,7.09,5.94,211,137,Medium
3.26,5.65,5.4,223,96,Medium
4.67,7.11,7.07,288,131,High
3.04,0.56,5.44,174,101,Low
3.35,7.6,3.54,205,150,High
1.76,2.58,6.3,147,74,Low
3.23,2.07,8.02,144,93,Low
4.98,0.76,5.21,189,112,Low
1.09,4.89,6.69,197,120,Low
1.69,3.61,6.55,130,102,Low
2.02,1.28,4.4,166,78,Low
8.0,3.82,4.59,214,116,High
7.6,2.39,4.36,246,118,Medium
1.01,6.86,5.44,189,126,Medium
1.34,6.27,4.29,193,122,Medium
6.55,9.66,5.59,327,187,High
7.67,4.27,7.48,256,131,Medium
5.52,6.46,7.46,290,171,High
0.97,9.85,4.6,247,154,High
3.43,4.02,5.16,190,137,Medium
0.84,9.63,4.14,199,141,High
5.66,4.64,5.65,157,129,Medium
4.31,5.09,8.22,176,145,Medium
2.15,8.59,6.17,229,174,High
3.72,6.3,5.39,225,147,Medium
6.81,2.23,6.6,267,88,Medium
5.61,3.12,8.21,283,118,Medium
0.68,7.34,4.18,203,130,Medium
3.93,8.03,4.19,277,173,High
5.53,3.41,4.92,197,97,Medium
5.97,3.64,5.8,217,108,Medium
2.01,1.65,6.85,149,46,Low
1.48,2.56,6.14,92,91,Low
7.81,5.48,5.56,292,159,High
1.44,0.63,7.6,87,61,Low
7.79,5.76,5.44,268,173,High
6.98,5.95,4.68,242,160,High
1.47,0.99,8.03,104,78,Low
0.59,6.48,5.2,202,134,Medium
4.5,3.39,6.81,197,115,Low
6.33,2.64,4.47,182,110,Medium
3.54,8.67,6.8,261,151,High
5.92,9.5,4.32,316,206,High
5.28,1.99,6.49,199,122,Low
4.75,3.27,6.22,205,144,Medium
5.62,4.81,4.91,173,142,Medium
5.29,9.37,3.9,266,200,High
5.18,9.13,5.78,284,194,High
5.99,5.91,6.7,254,160,High
5.51,7.15,7.06,257,155,High
0.32,4.6,6.53,143,120,Low
0.73,9.64,6.77,201,244,Medium
5.38,3.06,4.72,255,122,Medium
3.76,6.69,6.61,227,124,Medium
3.93,1.37,5.6,143,100,Low
5.36,8.65,4.71,330,169,High
6.51,5.73,8.58,238,156,Medium
2.59,9.72,4.58,285,208,High
4.34,4.43,5.99,222,142,Medium
6.05,6.44,5.8,247,113,High
3.5,7.13,5.1,297,190,High
4.87,2.77,7.06,226,99,Low
7.94,9.17,5.12,322,202,High
6.66,5.23,5.51,223,140,High
7.84,2.82,8.19,211,116,Medium
7.37,5.33,7.47,229,145,High
3.32,9.38,7.82,214,177,High
2.26,3.34,2.65,106,90,Low
4.31,3.78,6.24,165,108,Low
3.64,3.56,6.98,230,97,Low
6.2,0.91,5.91,185,60,Low
6.49,4.17,4.79,192,155,Medium
0.3,5.27,6.27,112,93,Low
6.99,4.68,4.52,249,137,High
5.24,1.97,5.06,110,109,Low
2.71,7.08,4.64,179,172,Medium
3.04,3.51,4.44,168,74,Low
6.98,0.84,7.76,214,155,Low
5.97,4.62,3.97,273,151,High
6.98,4.71,4.94,194,175,High
2.35,4.06,6.97,198,129,Low
4.53,8.03,5.98,279,188,High
1.93,9.17,4.68,267,187,High
2.03,2.93,8.67,157,119,Low
1.26,4.7,5.35,146,134,Low
5.11,4.53,6.03,282,136,Medium
3.87,2.75,7.46,144,90,Low
7.94,3.3,7.62,242,125,Medium
5.49,7.57,7.23,314,176,High
3.97,9.09,5.21,328,164,High
5.09,6.4,5.15,231,123,High
5.27,8.46,3.83,239,167,High
3.53,6.01,5.23,221,131,Medium
2.36,7.6,6.29,243,101,Medium
4.25,9.18,4.87,292,167,High
6.6,5.08,6.52,208,138,Medium
7.7,1.84,6.55,281,102,Medium
5.79,9.81,7.56,302,173,High
0.11,5.6,8.01,122,126,Low
5.38,6.05,7.11,187,160,Medium
0.2,8.9,6.64,154,141,Medium
1.77,1.1,7.89,64,65,Low
1.12,9.49,7.1,227,191,Medium
0.78,8.93,6.9,250,145,Medium
7.57,4.48,4.06,259,130,High
3.32,1.44,5.3,153,88,Low
2.96,4.71,6.14,251,109,Medium
0.79,7.01,3.04,174,125,Medium
1.52,1.66,7.62,146,59,Low
5.3,6.6,5.61,254,159,High
1.01,5.86,5.44,229,139,Medium
1.66,2.55,7.31,123,114,Low
0.02,8.65,8.2,219,162,Medium
2.01,2.16,6.44,136,121,Low
1.9,3.58,6.65,166,108,Low
5.93,5.5,5.82,217,149,High
0.87,5.29,4.97,180,115,Low
6.27,8.74,4.18,300,193,High
3.83,4.32,6.09,188,99,Medium
7.28,1.2,7.59,227,115,Low
5.06,5.71,6.31,197,201,Medium
4.24,4.81,5.66,207,117,Medium
5.21,7.81,3.46,271,156,High
3.61,2.67,5.67,202,92,Low
3.41,6.82,6.25,221,157,Medium
7.38,1.14,6.41,196,127,Medium
6.49,5.79,6.89,231,138,High
2.64,1.66,5.49,179,83,Low
5.77,9.7,3.04,289,184,High
4.62,2.52,5.81,169,133,Low
2.94,7.74,7.39,191,141,Medium
6.76,9.76,6.04,290,198,High
7.43,8.38,5.2,315,200,High
5.62,3.44,6.02,218,137,Medium
3.21,1.85,5.36,150,84,Low
5.97,2.54,5.19,220,88,Medium
6.21,5.89,7.19,269,155,High
1.26,6.37,5.8,173,120,Medium
3.54,3.1,5.16,180,95,Low
3.44,3.19,5.74,148,102,Low
3.16,6.19,5.75,245,140,Medium
1.69,1.8,6.61,159,113,Low
1.41,4.11,6.54,152,83,Low
6.67,8.16,7.66,328,185,High
7.37,8.69,5.46,286,179,High
5.68,4.47,6.17,236,115,Medium
4.95,8.4,7.59,291,171,High
6.76,2.81,4.8,204,103,Medium
2.72,3.66,6.99,193,128,Low
0.91,5.34,7.3,158,113,Low
6.52,2.74,3.88,230,126,Medium
4.82,7.72,5.33,252,170,High
6.04,7.72,4.24,221,187,High
4.52,6.54,4.19,203,143,High
0.55,4.7,5.98,150,124,Low
0.45,5.32,5.94,197,151,Low
0.61,8.71,6.86,245,135,Medium
4.06,4.9,4.1,196,146,Medium
6.48,6.69,4.88,262,183,High
1.21,1.09,8.82,153,51,Low
4.04,2.14,7.96,173,117,Low
3.52,5.47,6.73,239,129,Medium
2.71,6.18,7.32,223,109,Medium
0.53,1.4,6.38,86,64,Low
7.25,8.8,3.66,300,214,High
1.13,3.82,8.33,144,80,Low
7.5,3.44,6.92,206,153,Medium
6.51,6.87,6.6,237,155,High
5.17,4.52,4.68,206,144,Medium
1.44,2.53,7.91,128,89,Low
0.62,8.52,6.73,258,175,Medium
6.68,8.89,6.5,319,191,High
3.01,2.04,5.86,180,59,Low
6.47,2.07,5.01,219,100,Medium
3.55,3.21,5.53,181,84,Low
4.27,3.44,6.72,164,122,Low
7.58,9.85,4.27,317,209,High
3.05,5.51,8.31,196,134,Low
2.0,6.59,5.52,235,120,Medium
0.82,8.54,6.65,200,157,Medium
7.24,1.9,5.13,150,127,Medium
1.78,4.79,6.18,184,138,Low
1.89,9.95,6.28,252,182,High
7.45,8.47,4.16,275,199,High
6.64,7.11,6.38,316,192,High
3.59,0.55,7.4,153,87,Low
5.82,5.51,4.56,268,155,High
2.41,0.95,4.8,156,64,Low
7.24,6.17,5.81,317,162,High
1.94,1.86,5.12,154,83,Low
5.31,1.31,7.58,190,91,Low
4.21,5.32,7.57,220,117,Medium
5.09,9.82,6.37,303,196,High
6.31,3.78,5.81,189,131,Medium
2.66,0.92,4.7,81,63,Low
1.4,7.9,4.27,229,127,Medium
0.5,7.87,4.55,181,151,Medium
0.35,2.39,9.42,139,20,Low
4.34,2.91,5.93,189,93,Low
2.86,7.92,6.64,221,172,Medium
7.12,7.56,6.34,323,164,High
7.79,5.21,2.97,276,115,High
5.82,1.25,6.03,141,71,Low
4.36,3.55,7.76,219,104,Low
3.41,7.05,7.48,231,156,Medium
6.96,3.85,6.88,241,179,Medium
0.6,6.56,5.92,152,158,Low
5.44,9.55,6.52,336,192,High
0.54,7.9,5.84,186,162,Medium
4.54,6.25,4.66,175,124,High
4.59,5.53,7.45,196,156,Medium
2.0,1.58,6.52,98,59,Low
2.09,2.97,7.5,61,118,Low
2.28,9.21,5.24,253,185,High
7.19,4.73,4.76,297,158,High
6.76,3.54,5.72,243,85,Medium
6.81,7.26,4.93,329,158,High
6.35,5.33,6.41,269,168,High
0.21,5.76,8.03,132,146,Low
4.41,6.31,6.81,254,179,Medium
4.21,7.81,5.79,265,157,High
7.78,6.6,3.84,309,145,High
6.24,6.58,7.76,304,207,High
3.46,9.15,6.32,274,183,High
2.58,7.24,6.61,186,188,Medium
7.16,8.54,5.42,358,178,High
2.42,5.57,6.01,181,128,Medium
7.53,1.96,5.01,182,80,Medium
4.51,8.34,4.3,281,173,High
5.13,5.98,4.7,205,122,High
3.98,6.46,6.81,218,195,Medium
3.86,8.14,5.4,236,173,High
3.52,5.1,6.32,220,154,Medium
2.5,7.32,5.78,168,160,Medium
2.96,5.84,6.02,197,155,Medium
2.14,2.86,7.32,169,74,Low
1.99,8.72,7.03,255,179,Medium
4.62,3.47,6.31,166,91,Low
2.47,0.72,6.55,161,62,Low
7.73,2.54,5.74,241,77,Medium
5.23,4.97,6.06,176,126,Medium
3.45,8.88,5.48,214,160,High
4.56,2.35,7.21,172,98,Low
4.03,7.76,5.15,345,159,High
7.8,4.24,5.25,268,122,High
7.51,7.67,5.93,341,173,High
1.1,3.66,6.52,118,103,Low
4.85,5.4,5.2,270,170,High
5.91,3.34,9.2,189,151,Low
4.26,7.23,5.17,304,137,High
7.84,6.05,6.93,302,131,High
5.5,0.75,3.28,186,93,Low
4.62,7.35,3.77,243,155,High
5.03,6.39,6.23,237,149,High
7.59,1.54,5.81,242,108,Medium
1.21,7.06,4.42,231,176,Medium
5.89,1.09,5.13,197,102,Low
2.6,6.79,5.03,216,164,Medium
2.74,3.87,8.68,185,78,Low
5.15,7.09,5.17,251,161,High
1.8,9.74,7.38,245,191,High
1.66,7.2,5.66,238,177,Medium
2.19,1.66,5.75,124,63,Low
7.84,8.27,7.47,306,184,High
5.71,3.79,7.01,200,129,Medium
3.83,2.42,3.67,157,94,Low
4.93,6.07,5.28,247,177,High
4.25,6.56,7.09,252,148,Medium
6.17,0.55,5.79,115,73,Low
3.26,9.38,6.72,245,194,High
2.57,6.64,9.02,229,137,Medium
4.59,5.58,5.51,163,150,Medium
7.06,2.17,5.69,308,78,Medium
3.18,5.21,8.99,176,165,Low
0.07,5.9,5.3,236,156,Low
2.28,9.9,4.43,253,216,High
3.74,2.33,5.51,184,104,Low
3.67,2.94,7.1,224,110,Low
6.06,2.17,4.67,243,72,Medium
6.62,5.4,7.32,283,152,High
2.59,2.86,7.06,160,111,Low
6.03,9.56,4.82,359,223,High
5.54,1.09,6.46,198,102,Low
3.24,5.27,7.63,179,125,Low
7.33,3.3,6.49,223,116,Medium
1.07,1.96,6.67,84,57,Low
3.77,5.61,6.83,209,124,Medium
1.98,7.67,6.38,215,122,Medium
0.62,5.86,6.97,212,132,Low
4.04,5.94,6.63,251,131,Medium
1.64,6.04,6.16,225,143,Medium
6.47,4.81,4.55,246,160,High
6.46,7.37,6.09,243,193,High
5.97,5.99,6.86,267,210,High
7.48,1.16,7.64,216,99,Low
3.27,7.81,6.22,163,147,Medium
7.94,4.13,4.8,305,107,High
3.01,6.99,5.21,198,138,Medium
1.43,5.6,5.39,137,118,Low
1.78,0.53,7.77,118,53,Low
4.26,8.32,4.41,269,189,High
2.21,9.41,5.75,239,181,High
6.13,8.9,4.33,325,188,High
0.81,0.82,5.31,77,95,Low
3.22,2.73,7.0,181,137,Low
0.45,5.29,5.89,219,113,Low
4.78,6.89,4.79,244,171,High
1.15,6.77,6.39,223,182,Medium
7.04,9.16,6.47,300,180,High
3.96,9.74,7.3,269,190,High
3.33,1.92,5.45,122,113,Low
3.79,8.57,5.17,310,187,High
4.5,9.69,3.08,277,184,High
1.94,2.43,4.92,91,93,Low
5.8,2.31,5.76,196,136,Medium
4.82,8.8,6.41,331,175,High
3.84,8.76,4.22,231,217,High
0.12,9.4,6.63,219,186,Medium
1.94,6.24,6.18,221,177,Medium
4.42,7.87,4.69,289,156,High
4.1,5.22,6.79,288,165,Medium
3.76,8.48,6.77,248,148,High
1.77,1.89,7.43,130,128,Low
4.63,4.47,6.71,238,99,Medium
3.99,6.72,7.49,231,136,Medium
6.57,9.68,4.5,296,216,High
1.35,7.34,7.99,143,148,Low
4.34,6.6,6.2,246,178,High
5.35,7.76,3.31,227,189,High
1.85,7.22,7.52,218,126,Medium
5.33,6.36,7.02,220,155,Medium
0.05,5.74,7.89,169,110,Low
0.14,8.22,9.43,180,117,Low
7.28,1.52,6.68,221,113,Medium
6.52,3.04,7.41,200,130,Medium
3.25,5.87,6.95,215,121,Medium
5.23,8.65,3.48,289,171,High
3.03,5.75,6.28,213,145,Medium
3.47,7.95,7.1,197,146,Medium
0.76,5.52,7.17,179,148,Low
3.8,0.94,4.68,212,100,Low
7.19,5.85,8.4,289,136,High
4.7,7.65,8.58,258,145,Medium
0.62,2.04,6.87,176,44,Low
2.65,7.68,7.61,292,201,Medium
5.79,5.26,6.29,244,106,Medium
2.72,7.81,6.83,266,151,Medium
6.19,0.78,5.75,277,71,Low
7.53,4.6,5.85,243,116,High
0.69,6.38,6.86,140,140,Low
5.69,6.52,6.12,261,139,High
0.85,0.55,6.45,127,59,Low
1.5,4.76,7.01,144,107,Low
0.21,3.86,7.94,163,88,Low
2.33,4.18,7.41,233,133,Low
7.24,9.79,4.64,327,195,High
2.41,5.18,6.69,223,132,Medium
3.37,5.1,6.96,217,128,Medium
4.75,2.36,7.97,206,112,Low
7.59,3.66,4.3,211,123,High
6.52,8.67,6.43,323,184,High
2.57,9.5,6.11,285,228,High
2.33,7.1,5.36,182,148,Medium
1.94,4.07,6.89,142,127,Low
4.74,5.68,6.97,220,118,Medium
7.62,4.89,5.42,236,138,High
6.55,8.06,7.32,269,192,High
5.07,2.8,5.18,158,110,Medium
7.93,5.05,5.25,245,164,High
7.36,7.07,3.51,282,144,High
4.3,6.56,7.88,287,167,Medium
5.26,3.87,5.87,209,152,Medium
3.2,7.65,5.73,273,153,High
0.08,2.96,5.25,123,63,Low
3.57,4.22,5.46,202,92,Medium
4.0,3.78,6.78,198,71,Low
0.93,9.44,7.51,251,181,Medium
3.64,2.47,5.03,175,69,Low
2.55,3.35,7.11,173,93,Low
6.79,6.66,5.34,265,178,High
1.4,2.02,6.57,60,62,Low
1.85,4.35,7.07,212,107,Low
4.91,2.37,6.39,164,92,Low
5.64,2.45,6.22,146,116,Low
6.98,2.28,6.29,203,131,Medium
2.1,8.7,4.23,234,142,High
4.7,3.81,5.2,231,96,Medium
6.51,7.21,5.14,325,178,High
0.94,3.4,6.89,163,123,Low
4.09,4.47,6.91,230,135,Medium
5.55,6.63,7.35,300,157,High
3.92,1.83,5.91,196,109,Low
0.08,1.8,7.19,138,24,Low
4.04,5.2,5.58,190,144,Medium
0.66,0.79,5.68,103,46,Low
2.2,5.61,6.87,226,126,Medium
4.4,1.58,4.36,208,113,Low
6.59,3.99,6.1,230,125,Medium
7.92,1.47,4.58,244,78,Medium
2.38,9.99,4.71,274,190,High
7.95,7.87,4.24,321,220,High
4.7,3.83,5.73,166,124,Medium
1.65,2.47,7.16,167,94,Low
2.25,5.62,5.38,239,124,Medium
6.86,9.86,6.25,325,194,High
7.7,7.96,8.71,269,191,High
6.93,2.87,5.56,213,82,Medium
6.09,6.92,4.13,277,161,High
3.62,6.52,7.22,241,140,Medium
4.12,3.14,7.33,177,125,Low
0.02,7.85,5.88,192,112,Medium
3.67,6.81,5.68,245,136,High
3.44,2.51,6.22,162,134,Low
2.7,5.99,4.87,196,118,Medium
0.39,1.45,8.33,114,47,Low
0.99,8.65,5.99,224,171,Medium
5.51,1.75,6.06,178,89,Low
7.46,3.1,5.43,219,94,Medium
1.32,4.27,8.31,147,136,Low
1.87,6.73,6.12,207,129,Medium
1.81,6.96,6.22,257,144,Medium
6.54,9.89,4.79,333,219,High
5.85,1.47,6.78,165,134,Low
1.1,7.85,6.12,198,160,Medium
4.24,0.58,6.49,133,60,Low
5.78,6.47,6.49,288,141,High
0.69,1.45,4.59,112,44,Low
3.07,9.65,5.47,285,179,High
4.43,6.2,6.43,198,124,Medium
5.52,8.55,5.04,269,156,High
5.98,3.31,5.91,279,133,Medium
7.64,5.2,6.79,295,130,High
7.82,9.88,4.41,360,203,High
6.89,5.9,4.51,305,159,High
6.16,0.66,3.34,203,95,Medium
0.32,1.07,7.21,66,48,Low
3.32,7.17,4.93,269,164,High
4.93,3.14,5.67,234,122,Medium
4.29,4.21,8.24,169,93,Low
5.45,1.13,5.73,132,94,Low
0.69,4.63,6.13,120,116,Low
2.47,7.55,5.96,215,144,Medium
1.31,9.55,4.11,191,166,High
5.77,2.09,7.68,235,99,Low
6.17,0.78,8.79,192,75,Low
0.51,7.27,5.8,191,121,Medium
4.0,5.89,6.33,212,152,Medium
0.82,5.95,6.18,160,119,Low
6.9,2.82,6.01,196,121,Medium
1.2,9.35,6.9,208,196,Medium
3.35,3.56,5.29,142,125,Low
2.17,1.24,5.67,156,85,Low
6.43,9.82,4.94,334,197,High
3.72,3.18,6.91,161,104,Low
1.61,5.86,6.2,178,154,Low
3.71,6.12,3.95,229,156,High
6.08,2.83,8.54,244,115,Low
1.86,3.79,7.75,112,105,Low
5.26,8.57,5.6,285,169,High
4.24,2.76,5.88,185,135,Low
0.74,9.25,5.96,258,150,High
5.61,4.04,6.53,222,135,Medium
6.56,1.21,6.59,167,88,Low
7.71,2.75,5.88,262,131,Medium
5.88,3.52,4.29,219,129,Medium
1.62,7.91,5.45,214,164,Medium
3.25,5.59,7.27,232,130,Medium
2.47,3.02,6.96,174,83,Low
5.58,0.88,4.29,190,73,Low
0.73,2.86,5.75,162,81,Low
7.93,0.8,5.29,183,111,Medium
5.98,2.87,4.01,225,116,Medium
6.64,9.83,5.5,365,228,High
2.98,6.49,5.08,190,140,Medium
0.17,1.11,9.07,125,51,Low
1.03,9.1,6.5,208,185,Medium
1.34,5.95,6.62,202,110,Low
0.24,6.99,6.67,206,141,Low
7.07,0.83,7.11,181,85,Low
2.36,4.41,5.92,178,112,Low
1.6,8.9,6.59,195,160,Medium
6.42,8.05,7.64,293,162,High
3.88,9.17,6.86,246,179,High
1.44,3.53,7.0,217,100,Low
7.93,5.53,5.24,294,77,High
7.79,1.45,5.55,198,124,Medium
0.45,9.97,3.51,247,209,High
6.38,3.87,7.21,184,140,Medium
6.45,7.13,7.08,289,165,High
5.6,9.5,4.07,291,214,High
7.05,5.18,9.08,250,169,Medium
0.72,2.71,6.94,167,130,Low
1.61,1.74,6.68,116,35,Low
6.75,3.57,7.55,240,156,Medium
6.77,8.68,4.43,339,183,High
7.54,4.26,6.64,272,146,High
7.59,8.02,5.97,356,177,High
1.39,9.7,4.93,181,176,High
4.71,2.17,5.48,167,128,Low
1.02,7.42,8.93,183,94,Low
7.72,0.81,8.58,153,71,Low
7.74,2.6,3.38,206,140,High
1.9,9.83,7.36,286,213,High
0.71,7.24,4.6,151,125,Medium
2.0,1.14,7.0,126,83,Low
0.01,4.17,6.24,64,117,Low
3.03,5.69,5.2,238,147,Medium
6.91,6.68,5.37,267,199,High
2.36,3.53,7.45,179,101,Low
1.36,4.07,6.29,123,112,Low
4.75,6.33,5.58,238,150,High
7.54,2.07,6.58,212,123,Medium
1.52,7.12,6.62,201,111,Medium
2.12,3.17,6.5,168,64,Low
1.23,3.93,5.48,134,110,Low
5.3,6.2,5.94,259,158,High
0.66,8.52,6.96,206,174,Medium
3.91,6.78,7.2,260,167,Medium
2.96,4.73,8.52,192,143,Low
1.81,3.05,8.37,171,91,Low
2.75,5.64,5.72,245,126,Medium
4.43,8.49,6.23,245,134,High
3.8,8.88,5.2,258,176,High
7.22,7.29,2.97,296,182,High
4.96,1.64,4.62,179,82,Low
7.87,9.74,5.46,329,153,High
3.48,9.97,7.31,242,159,High
2.06,9.15,6.26,242,154,High
2.61,3.12,7.21,107,111,Low
6.29,6.42,4.49,266,148,High
4.7,7.7,6.11,329,149,High
4.5,1.46,6.07,205,78,Low
3.06,5.11,7.21,196,123,Low
2.2,1.87,5.16,111,124,Low
2.65,2.76,7.07,159,51,Low
7.18,0.69,6.63,174,89,Low
5.57,1.43,7.67,195,87,Low
7.79,4.71,6.19,246,120,High
1.5,2.51,7.46,162,58,Low
6.08,8.74,6.14,269,194,High
4.05,1.79,7.29,204,58,Low
0.23,2.33,7.88,68,79,Low
7.34,7.19,6.87,289,209,High
4.04,6.54,6.15,243,129,Medium
1.42,8.77,7.14,209,152,Medium
1.31,9.0,5.96,188,160,Medium
1.3,5.94,7.43,246,119,Low
5.18,6.94,5.64,292,193,High
6.14,0.58,6.59,217,72,Low
4.81,0.58,6.43,215,63,Low
5.14,4.53,8.98,205,143,Low
2.02,4.93,5.32,134,111,Low
4.09,6.79,6.25,259,135,High
5.18,6.29,5.68,265,206,High
5.12,8.68,7.02,283,211,High
7.14,3.34,7.15,278,155,Medium
6.42,6.2,4.46,245,130,High
5.77,6.73,6.68,267,142,High
0.28,7.23,6.83,175,132,Low
5.81,2.61,4.1,194,135,Medium
4.06,8.53,4.75,301,138,High
1.45,1.43,7.36,139,86,Low
1.46,6.96,4.26,199,148,Medium
2.84,7.57,5.22,285,147,High
2.35,8.59,6.72,184,172,Medium
4.67,9.47,7.86,319,146,High
3.05,3.33,6.35,231,118,Low
1.1,2.4,5.34,153,102,Low
2.53,7.3,5.28,233,127,Medium
5.05,2.18,6.2,186,96,Low
1.35,7.76,8.1,165,152,Medium
0.7,6.34,5.48,162,148,Medium
0.3,2.39,6.48,116,82,Low
2.58,8.42,6.56,286,153,High
5.55,3.77,5.42,240,137,Medium
4.71,2.09,6.77,159,90,Low
4.77,3.71,8.02,282,75,Low
2.74,9.06,5.33,271,214,High
3.23,2.67,5.55,166,87,Low
5.87,6.1,6.36,284,149,High
7.01,2.93,5.74,219,118,Medium
7.96,6.79,5.39,296,163,High
3.04,5.7,4.97,194,135,Medium
5.56,6.49,5.24,302,147,High
4.85,1.8,5.52,186,87,Low
5.75,1.62,6.69,199,102,Low
2.1,5.47,7.0,207,155,Low
2.36,0.87,5.86,128,88,Low
0.02,6.88,5.87,230,111,Medium
5.35,1.92,7.49,208,98,Low
2.05,2.7,5.98,176,91,Low
3.71,1.45,6.64,164,76,Low
2.5,7.52,8.09,272,171,Medium
0.37,8.59,5.72,198,141,Medium
4.97,8.85,6.62,333,201,High
1.46,4.31,7.35,160,79,Low
6.4,6.66,7.23,280,152,High
5.57,1.06,7.0,173,67,Low
6.42,6.94,6.47,292,183,High
2.87,0.77,5.72,82,84,Low
7.36,1.57,6.0,206,108,Medium
2.09,3.49,5.93,120,105,Low
4.52,9.79,4.01,281,174,High
4.18,7.16,7.33,274,156,High
5.41,4.16,7.15,243,105,Medium
7.9,1.02,5.67,200,124,Medium
6.96,1.21,4.28,180,100,Medium
7.76,0.98,6.42,253,88,Medium
3.67,8.11,6.32,200,178,High
3.58,1.63,4.73,158,103,Low
4.46,0.5,7.25,188,93,Low
4.95,3.39,5.35,204,92,Medium
2.91,1.02,4.02,144,98,Low
4.48,6.39,4.18,250,146,High
6.07,2.61,5.56,179,143,Medium
7.72,3.27,4.05,238,139,High
1.12,7.31,6.36,203,133,Medium
4.89,2.28,7.37,174,68,Low
5.73,1.52,6.83,129,120,Low
6.7,6.09,5.9,239,129,High
1.08,5.24,3.85,165,117,Medium
7.48,8.47,3.98,323,200,High
4.63,7.44,5.44,281,176,High
4.8,8.89,4.45,284,224,High
6.1,3.1,5.74,295,105,Medium
3.62,1.77,4.87,185,89,Low
5.61,8.68,4.56,277,136,High
5.06,2.41,5.55,174,87,Low
7.85,6.68,7.03,332,163,High
5.55,3.56,6.93,235,94,Medium
5.34,4.47,6.21,226,91,Medium
2.29,8.55,6.44,208,175,Medium
5.36,2.4,6.33,196,93,Low
2.29,2.88,7.46,118,86,Low
0.26,8.23,8.08,255,174,Medium
5.92,8.72,5.46,261,186,High
6.39,3.23,8.13,189,81,Low
3.1,9.59,6.76,266,177,High
2.01,6.4,6.1,217,97,Medium
